filenames,rsid,round,samples,zi,zf
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_2\Sample_2_MMStack_Pos-0-1.ome.tif,3.02,Round3,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_2\Sample_2_MMStack_Pos-0-2.ome.tif,3.02,Round3,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_2\Sample_2_MMStack_Pos-1-0.ome.tif,3.02,Round3,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_2\Sample_2_MMStack_Pos-1-1.ome.tif,3.02,Round3,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_2\Sample_2_MMStack_Pos-1-2.ome.tif,3.02,Round3,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_2\Sample_2_MMStack_Pos-2-0.ome.tif,3.02,Round3,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_2\Sample_2_MMStack_Pos-2-1.ome.tif,3.02,Round3,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_2\Sample_2_MMStack_Pos-2-2.ome.tif,3.02,Round3,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_3\Sample_3_MMStack_Pos-0-0.ome.tif,3.03,Round3,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_3\Sample_3_MMStack_Pos-0-1.ome.tif,3.03,Round3,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_3\Sample_3_MMStack_Pos-0-2.ome.tif,3.03,Round3,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_3\Sample_3_MMStack_Pos-1-0.ome.tif,3.03,Round3,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_3\Sample_3_MMStack_Pos-1-1.ome.tif,3.03,Round3,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_3\Sample_3_MMStack_Pos-1-2.ome.tif,3.03,Round3,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_3\Sample_3_MMStack_Pos-2-0.ome.tif,3.03,Round3,Sample_3,5,37
